What is an array? | An ordered, static set of elements of a single data type
Describe the steps to add a node to a linked list | Check there is free memory, place the new value at the NextFree position, update the preceding node's pointer to the new node, update the new node's pointer to the next item, and update NextFree
How is a node removed from a linked list? | Update the preceding node's pointer to bypass the deleted node and point directly to the node after it
Why does removing a node from a linked list waste memory? | The node is not truly deleted; it remains in memory but is ignored because no pointer references it
Why can items in a linked list not be directly accessed by index? | Items are connected by pointers and can only be reached by traversing from the start node through each pointer in sequence
Why does a linked list require more memory per item than an array? | Each node must store a pointer in addition to the data
What is a stack? | A last in first out (LIFO) data structure where items can only be added to or removed from the top
A last in first out (LIFO) data structure - what is this? | A stack
Give two uses of stacks in computing | Undo functionality in applications and navigating back a page in web browsers
What pointer does a stack use? | A top pointer, which points to the position at the top of the stack where data will be added or removed
What does the stack operation push(value) do? | Adds a new value to the top of the stack, after checking the stack is not full
What does the stack operation pop() do? | Removes and returns the top value of the stack, after checking it is not empty
What does the stack operation peek() do? | Returns the top value of the stack without removing it
What does the stack operation isFull() do? | Checks if the stack is full by comparing the stack size to the top pointer, and returns a Boolean
What does the stack operation size() return? | The number of items in the stack
What is a stack overflow? | An attempt to push an item onto a full stack
What is a stack underflow? | An attempt to pop an item from an empty stack
What happens to the top pointer when an item is pushed onto a stack? | It is incremented by 1
What happens to the top pointer when an item is popped from a stack? | It is decremented by 1
Is popped data necessarily erased from a stack? | No. The top pointer moves down but the data may remain in memory until overwritten
When are static stacks preferred over dynamic stacks? | When the maximum size required is known in advance, as they are easier to implement and make more efficient use of memory
What is a queue? | A first in first out (FIFO) data structure where items are added to the back and removed from the front
A first in first out (FIFO) data structure - what is this? | A queue
What two pointers does a queue use? | A front (head) pointer and a back (tail/rear) pointer
What does enQueue(value) do? | Adds a new element to the back of the queue and increments the back pointer
What does deQueue() do? | Removes and returns the element from the front of the queue and increments the front pointer
What does peek() do on a queue? | Returns the value from the front of the queue without removing it
What is a queue overflow? | An attempt to enqueue an item when the queue is full
What is a queue underflow? | An attempt to dequeue an item from an empty queue
Name three types of queue | Linear queue, circular queue, and priority queue
How does a stack differ from a queue in terms of access order? | A stack uses LIFO (last item added is first removed), while a queue uses FIFO (first item added is first removed)
What is a linear queue? | A queue implemented using an array where items are added to the next available space and removed from the front
What is the main disadvantage of a linear queue? | Vacated spaces at the front of the array cannot be reused after items are dequeued
What is a circular queue? | A queue implemented as a static array with fixed capacity, where the rear pointer wraps back to the start of the array when it reaches the end
How does a circular queue solve the problem of a linear queue? | It reuses empty slots at the front of the array caused by dequeuing, by wrapping the rear pointer back to the start
How does the rear pointer wrap around in a circular queue? | When it reaches the last position of the array, it loops back to point to position 0, provided the queue is not full
What is a static data structure? | A data structure with a fixed size that cannot change at run time
What is a dynamic data structure? | A data structure that can adapt and change in size during run time, so it does not waste as much memory
What is a pointer? | An object that stores a memory address
What is a graph? | A set of vertices (nodes) connected by edges (arcs)
What is a directed graph? | A graph where edges can only be traversed in one direction
What is an undirected graph? | A graph where edges can be traversed in both directions
What is a weighted graph? | A graph where a value (weight) is assigned to each edge
Name two structures used to represent a graph in a computer | An adjacency matrix and an adjacency list
What is an adjacency matrix? | A matrix of rows and columns used to represent a labelled graph, where values indicate edges between nodes
What is an adjacency list? | A collection of unordered lists used to represent a finite graph, where each node stores a list of its neighbours
In an adjacency matrix for an unweighted graph, what do 1 and 0 represent? | 1 means an edge exists between two nodes; 0 means no edge
What property does the adjacency matrix of an undirected graph have? | It is symmetric
In a weighted adjacency matrix, what value represents the absence of an edge? | Infinity
What is an advantage of an adjacency matrix over an adjacency list? | Quicker access times for checking whether an edge exists, and it is easy to add nodes
What is an advantage of an adjacency list over an adjacency matrix? | More space efficient for large, sparse networks
Name three applications of graphs in computing | Social networks, transport networks, and operating systems
What is a breadth-first search of a graph? | A traversal that visits all neighbours of a vertex before moving to their neighbours, processing the graph layer by layer
What data structure does a breadth-first search use? | A queue
What is a depth-first search of a graph? | A traversal that follows a path as far as possible before backtracking to explore other paths
What data structure does a depth-first search use? | A stack
What is a tree in computer science? | A connected, undirected form of a graph with a root node, where nodes are connected by edges (branches) in parent-child relationships
What is the root of a tree? | The single top-level node with no incoming edges
What is a leaf node? | A node with no children
What is the height of a tree? | The number of edges from the root to the furthest leaf node
What is a subtree? | A subsection of a tree consisting of a parent and all the children of that parent
What does a null pointer indicate in a tree? | That a node does not point to a child node in that direction
Name four applications of trees | Managing folder structures, storing routing tables, speeding up searching (BSTs), and representing algebraic or Boolean expressions
What is a binary tree? | A rooted tree where every node has a maximum of two children
How is a binary tree typically represented in memory? | Each node stores a left pointer, a data value, and a right pointer, usually implemented using 2D arrays
What order does pre-order traversal follow? | Root node, left subtree, right subtree
In the outline method for pre-order traversal, where is the dot placed? | On the left-hand side of each node
What order does in-order traversal follow? | Left subtree, root node, right subtree
In the outline method for in-order traversal, where is the dot placed? | Underneath each node
What is in-order traversal useful for? | Outputting the nodes in sequential (sorted) order
What order does post-order traversal follow? | Left subtree, right subtree, root node
In the outline method for post-order traversal, where is the dot placed? | On the right-hand side of each node
How does breadth-first traversal of a tree work? | Begin at the root and output each level from left to right, moving down through each level in turn
How is a new value added to a binary tree? | If the tree is empty, it becomes the root. Otherwise, compare with the current node: move left if smaller, right if greater. Repeat until a vacant spot is found
What is a binary search tree? | A binary tree where nodes are ordered so that left subtree values are less than the parent and right subtree values are greater
A binary tree where left subtree values are less than the parent and right subtree values are greater - what is this? | A binary search tree
Why is a binary search tree ordered? | To optimise searching
How is a value inserted into a binary search tree? | Compare with the current node: move left if smaller, move right if greater. Repeat until a vacant position is found and insert there
How is a leaf node deleted from a binary search tree? | Simply remove it, as it has no children
How is a node with one child deleted from a binary search tree? | Replace the node with its child
How is a node with two children deleted from a binary search tree? | Replace it with the in-order successor (the minimum value in its right subtree), then delete the successor from its original position
What is the in-order successor of a node in a binary search tree? | The smallest value in the node's right subtree
What is a hash table? | An associative array coupled with a hash function that maps keys to indices in the table
An associative array coupled with a hash function that maps keys to indices - what data structure is this? | A hash table
What is the role of a hash function in a hash table? | To map a key to an index in the hash table
What is a collision in a hash table? | When two different keys produce the same hash value
What is collision resolution? | The process of handling a collision by placing the item in an alternative location
What are the two main methods of collision resolution? | Linear probing and chaining
What is linear probing? | A collision resolution method where the data is placed in the next free position in the hash table, probing sequentially or at set intervals
What is chaining in a hash table? | A collision resolution method using linked lists at each position, so colliding items form a chain of nodes at the same index
What three attributes does each node have in a chaining implementation? | The key value, the data, and a pointer to the next node
What is the best-case time complexity for retrieving data from a hash table? | Constant time
How is a character-based key typically hashed? | Convert each character to its ASCII value, sum the values, then apply the MOD function with the table size
What is rehashing? | Creating a new hash table and reinserting all existing items using the hash function, to address performance degradation from a full table or excessive collisions
What property should a good hashing algorithm have regarding collisions? | A low probability of collisions occurring
Why are hash tables commonly used for indexing? | They provide fast access to data because keys have a unique one-to-one relationship with the address at which the data is stored
How is data retrieved from a hash table when linear probing was used for collisions? | Hash the key, check the indexed position for a matching key, and if no match, check subsequent positions until the key is found or an empty position is reached
How is data retrieved from a hash table when chaining was used for collisions? | Hash the key, go to the indexed position, then follow the linked list comparing keys until the matching node is found or the end of the list is reached
