What is an integer data type? | A whole number, either positive or negative, with no fractional part. Useful for counting
How do you convert a hexadecimal number to binary? | Convert each hex digit to its 4-bit binary nibble, then join the nibbles together
How do you convert hexadecimal directly to denary? | Multiply each hex digit by its place value (powers of 16: $16^0$, $16^1$, $16^2$...) and sum the results
What does the subscript in $10_2$, $10_{10}$, and $10_{16}$ indicate? | The base of the number system: base 2 (binary), base 10 (denary), and base 16 (hexadecimal) respectively
What are the two main components of a floating point binary number? | The mantissa (significant digits determining precision) and the exponent (controls where the binary point is placed, determining scale)
What does the mantissa represent in floating point? | The significant digits (precision) of the number
What does the exponent represent in floating point? | How far the binary point moves: a positive exponent shifts it right (larger number), a negative exponent shifts it left (smaller number)
Where is the binary point assumed to be in a normalised mantissa? | After the most significant bit (e.g. mantissa bits 01100 represent $0.1100$)
How are both the mantissa and exponent stored in floating point? | In two's complement, so the MSB of the mantissa indicates sign (0 = positive, 1 = negative) and the exponent can be negative
How do you convert a floating point binary number to denary? | Convert the exponent to denary, shift the mantissa's binary point by that many places (right if positive, left if negative), then convert the resulting fixed-point binary to denary
What does it mean for a floating point number to be normalised? | The mantissa begins with 01 (for positive numbers) or 10 (for negative numbers), maximising the use of available bits for precision
Why are floating point numbers normalised? | To ensure maximum precision in a given number of bits and to provide a consistent, unambiguous representation
How do you normalise a positive floating point number? | Shift the mantissa left until it starts with 01, reducing the exponent by 1 for each place shifted
How do you normalise a negative floating point number? | Shift the mantissa left until it starts with 10, reducing the exponent by 1 for each place shifted
How does increasing mantissa length affect a floating point number? | It increases precision (more significant digits) but does not change the range
How does increasing exponent length affect a floating point number? | It increases the range of representable values but does not change the precision
What is the first step when adding or subtracting floating point binary numbers? | Align the exponents by shifting the mantissa of the number with the smaller exponent to the right and increasing its exponent to match the larger one
After adding or subtracting floating point mantissas, what must be done? | Check whether the result needs normalising (the mantissa should start with 01 for positive or 10 for negative) and adjust the exponent accordingly
How is floating point subtraction performed? | Align the exponents, convert the mantissa being subtracted to two's complement, then add the mantissas and normalise the result
What is a logical shift? | Moving all bits in a binary number a specified number of positions to the left or right, filling vacated positions with zeros
What is the effect of a logical shift left by $n$ places? | It multiplies the number by $2^n$ (each single shift doubles the value)
What is the effect of a logical shift right by $n$ places? | It divides the number by $2^n$ using integer division (each single shift halves the value)
What is a mask in bitwise manipulation? | A binary number combined with another binary value using a bitwise operation (AND, OR, or XOR) to isolate, set, clear, or toggle specific bits
How does a bitwise AND operation work? | The result is 1 only where both input bits are 1; otherwise the result is 0. Used to extract or clear specific bits
How does a bitwise OR operation work? | The result is 1 where either input bit (or both) is 1; the result is 0 only where both input bits are 0. Used to set specific bits to 1
How does a bitwise XOR operation work? | The result is 1 where the two input bits differ; the result is 0 where they are the same. Used to toggle (flip) specific bits
What is a character set? | A standardised collection of characters and their associated unique binary codes, ensuring consistent interpretation across systems
A standardised list of characters and their associated binary codes — what is this called? | A character set
What does ASCII stand for? | American Standard Code for Information Interchange
How many bits does standard ASCII use, and how many characters can it represent? | 7 bits, representing $2^7 = 128$ distinct characters
What ASCII code range represents uppercase A-Z? | 65 to 90
What ASCII code range represents lowercase a-z? | 97 to 122
What is extended ASCII? | An 8-bit version of ASCII that can represent $2^8 = 256$ characters
Give three limitations of ASCII | It supports only 128 characters, cannot represent non-English language characters, and has no provision for modern symbols or emoji
Why was Unicode created? | To overcome ASCII's limitations by supporting characters from all the world's writing systems, as well as symbols and emoji
How does Unicode differ from ASCII in storage requirements? | ASCII uses 7 bits per character; Unicode uses a varying number of bits (up to 32), requiring more storage space
What is the main benefit of Unicode over ASCII? | It can represent characters from virtually all languages worldwide, plus special symbols and emoji, whereas ASCII is limited to English characters
What is the main drawback of Unicode compared to ASCII? | Unicode characters require more storage space (up to 32 bits per character vs 7 bits for ASCII)
