What is the role of the CPU? | To fetch, decode, and execute instructions, processing all data within the computer
During execution of an ADD or SUB instruction, where does the calculation occur and where is the result stored? | The values are passed to the ALU for calculation, and the result is stored in the ACC
During a branch instruction (e.g. BRA, BRZ), where does the comparison take place? | In the ALU
What are the three factors that affect CPU performance? | Clock speed, number of cores, and amount/type of cache memory
What is clock speed? | A measure of how many clock cycles the CPU performs per second, measured in Hertz (Hz)
What does the system clock do in a CPU? | Generates signals alternating between 0 and 1 that synchronise CPU operations. All processor activities begin on a clock pulse
How does increasing clock speed affect performance? | The CPU can execute more instructions per second, so tasks are completed more quickly
What is a core in a CPU? | An independent processing unit within the CPU, capable of running its own fetch-decode-execute cycle
An independent processing unit within the CPU capable of running its own FDE cycle — what is this? | A core
Why is a dual-core processor not exactly twice as fast as a single-core processor? | There is overhead in organising tasks between cores, and some tasks cannot be split between cores
What is parallel processing? | When multiple cores carry out different tasks or parts of a task simultaneously
What is cache memory? | A small amount of fast memory on or close to the CPU that stores frequently used data and instructions for quicker access than RAM
Why is cache faster to access than RAM? | It is physically closer to the CPU
What happens when cache memory fills up? | Unused or least recently used data and instructions are replaced with more recently or frequently used ones
What are the properties of Level 1 cache? | Very fast with a small capacity (2-64KB), with one per core
What are the properties of Level 2 cache? | Relatively fast with a medium capacity (256KB-2MB), shared between cores
What are the properties of Level 3 cache? | The largest and slowest cache level, sits on the motherboard rather than on the processor chip
What is pipelining? | A technique where the fetch, decode, and execute stages of different instructions are carried out simultaneously
A technique where the FDE stages of different instructions overlap so different parts of the processor are always active — what is this? | Pipelining
How does pipelining improve CPU performance? | It reduces latency by keeping all parts of the processor active. While one instruction is executed, the next is decoded and another is fetched
What happens to the pipeline when a branch instruction occurs? | The pipeline is flushed and all partially completed instructions in the pipeline are discarded
What is the difference between instruction pipelining and arithmetic pipelining? | Instruction pipelining overlaps the fetch, decode, and execute stages of different instructions. Arithmetic pipelining breaks down individual arithmetic operations into sub-stages and overlaps them
What is Von Neumann architecture? | A computer architecture with a single shared memory for both data and instructions, a single set of buses, and a single control unit. Built on the stored program concept
A computer architecture with shared memory for data and instructions, a single bus system, built on the stored program concept — what is this? | Von Neumann architecture
What is the stored program concept? | The idea that a program's instructions are stored in main memory alongside data and are fetched and executed sequentially by the processor
What is Harvard architecture? | A computer architecture with physically separate memories and separate buses for data and instructions, commonly used in embedded systems
A computer architecture with physically separate memories and buses for data and instructions — what is this? | Harvard architecture
How does Von Neumann architecture differ from Harvard architecture in memory organisation? | Von Neumann uses a single shared memory and shared bus for data and instructions. Harvard uses separate memories with separate buses, allowing simultaneous access to data and instructions
What is the main advantage of Harvard architecture over Von Neumann? | Data and instructions can be fetched simultaneously (in parallel) via separate buses, leading to faster execution
What is an advantage of Von Neumann architecture over Harvard? | Cheaper to develop as the control unit is simpler to design, and programs can be optimised in size
In Harvard architecture, why can instruction and data memories have different properties? | They are physically separate, so instructions can be read-only while data is read-write, and memory cell sizes and bus widths can be independently optimised
How do contemporary processors combine Von Neumann and Harvard architecture? | They use Von Neumann architecture for main memory (shared data and instructions) but Harvard architecture in the cache, splitting it into separate instruction cache and data cache
What is hyper-threading? | A technique where a single physical core can act as two virtual cores
What is out-of-order execution? | A technique where instructions can be executed before earlier ones if they are ready, rather than strictly following program order
What is superscalar processing? | A technique where multiple instructions can be executed simultaneously within a single core
