What is a database? | An organised collection of data that allows easy storage, retrieval, and management of information
Why can a many-to-many relationship not be directly implemented in a relational database? | It must be resolved by creating a link (junction) table, turning the single M:M into two one-to-many relationships
In a one-to-many relationship, which entity contains the foreign key? | The entity on the "many" side contains the foreign key referencing the primary key of the "one" side
What is OMR? | Optical Mark Recognition — a machine detects marks in predefined positions on paper (e.g. multiple-choice exam sheets, lottery tickets)
What is OCR? | Optical Character Recognition — converts printed or handwritten text into a digital format for searching and editing
What is MICR? | Magnetic Ink Character Recognition — reads characters printed in special magnetic ink, used by banks to process cheques
What is data mining? | The process of discovering hidden patterns, correlations, and insights from large datasets, using techniques such as machine learning and statistics
What is Query By Example (QBE)? | A visual interface for constructing database queries by entering criteria into a grid, without needing to write SQL
What is one advantage of QBE over SQL? | Accessible to non-technical users because it uses a visual interface rather than requiring knowledge of query syntax
What is one disadvantage of QBE compared to SQL? | Less powerful for complex queries, advanced features like stored procedures, and large datasets
What is CSV? | Comma Separated Values — a simple plain text format that stores tabular data with commas separating each value
What is JSON? | JavaScript Object Notation — a lightweight, human-readable data interchange format using key-value pairs, common in web applications
What is EDI? | Electronic Data Interchange — a standardised method for electronically transferring documents and data between businesses without human interaction
What is an API in the context of data exchange? | A set of protocols that allow different software applications to communicate, enabling integration of services and data exchange between platforms
What does SQL stand for and what type of language is it? | Structured Query Language — a declarative language used to interact with and manipulate databases via a DBMS
What does the SELECT statement do in SQL? | Retrieves specified fields from a database table
What does the FROM clause specify in SQL? | Which table(s) the data should be retrieved from
What does the WHERE clause do in SQL? | Filters results to include only records matching a specified condition
What does the LIKE keyword do in SQL? | Filters data by matching a pattern, using % as a wildcard (e.g. WHERE name LIKE 'J%' matches names starting with J)
What does the * wildcard do in a SELECT statement? | Selects all columns from the table
What does the % wildcard represent in a LIKE clause? | Any sequence of zero or more characters
How do AND and OR differ in a SQL WHERE clause? | AND requires all conditions to be true; OR requires at least one condition to be true
What is a nested SELECT (subquery) in SQL? | A SELECT statement inside another, whose result is used in the outer query's condition (e.g. WHERE salary > (SELECT AVG(salary) FROM employees))
What does JOIN (INNER JOIN) do in SQL? | Combines rows from two or more tables based on a matching column, returning only rows where the join condition is met
Write the general syntax for a SQL JOIN query | SELECT table1.field, table2.field FROM table1 JOIN table2 ON table1.key = table2.key
What does INSERT INTO do in SQL? | Adds a new record to a table (syntax: INSERT INTO table (columns) VALUES (values))
What does DELETE FROM do in SQL? | Removes records from a table that match a WHERE condition
What does DROP TABLE do in SQL? | Permanently deletes an entire table and all its data from the database
How does DELETE FROM differ from DROP TABLE? | DELETE FROM removes specific records (rows) from a table; DROP TABLE removes the entire table structure and all data
What does ORDER BY do in SQL? | Sorts query results in ascending order by default; adding DESC sorts in descending order
What does CREATE TABLE do in SQL? | Creates a new table, specifying each column's name, data type, whether it is the primary key, and whether it allows null values
What does ALTER TABLE do in SQL? | Modifies the structure of an existing table — can add columns, drop columns, or change a column's data type
What does UPDATE do in SQL? | Modifies existing records in a table (syntax: UPDATE table SET column = value WHERE condition)
In SQL, how does CHAR(n) differ from VARCHAR(n)? | CHAR(n) is a fixed-length string of exactly n characters; VARCHAR(n) is a variable-length string with a maximum of n characters
What SQL data type stores TRUE or FALSE values? | BOOLEAN
What SQL data type stores a whole number? | INTEGER (or INT)
What SQL data type stores a number with a decimal point? | FLOAT
What is referential integrity? | The principle that every foreign key value must match an existing primary key in the related table (or be null), ensuring consistency between linked tables
The principle that every foreign key must reference a valid primary key — what is this called? | Referential integrity
What is an orphaned record? | A record whose foreign key points to a primary key that no longer exists, violating referential integrity
What does the CASCADE action do in referential integrity? | Automatically applies the same update or deletion to all related records in linked tables
What does SET NULL do as a referential integrity action? | Sets the foreign key to null in related records when the referenced primary key is deleted or updated
What does NO ACTION (RESTRICT) do as a referential integrity action? | Prevents the deletion or modification of a primary key if related foreign key records still exist
What is a transaction in database terms? | A sequence of database operations treated as a single unit of work — either all operations complete successfully or none do
What does ACID stand for? | Atomicity, Consistency, Isolation, Durability
What does Atomicity mean in ACID? | A transaction must complete entirely or not at all — if any operation fails, the entire transaction is rolled back
What does Consistency mean in ACID? | A transaction must leave the database in a valid, consistent state, following all rules and constraints
What does Isolation mean in ACID? | Each transaction executes independently — its intermediate states are not visible to other concurrent transactions
What does Durability mean in ACID? | Once a transaction is committed, the changes persist permanently even if the system fails (e.g. power cut)
What is record locking? | A DBMS technique that prevents other transactions from accessing a record while it is being used, to avoid conflicting modifications and data inconsistency
The process of preventing simultaneous access to database records to avoid conflicts — what is this called? | Record locking
What is a shared lock (read lock)? | A lock that allows multiple transactions to read a record simultaneously but prevents any modification until released
What is an exclusive lock (write lock)? | A lock that grants only one transaction access to read and modify a record, blocking all other transactions
How does a shared lock differ from an exclusive lock? | A shared lock allows concurrent reads but no writes; an exclusive lock blocks all other access including reads
What is a deadlock in a database? | A situation where two or more transactions each hold a lock and are waiting for the other to release its lock, so none can proceed
Describe a scenario that causes a deadlock | User A locks Record 1 and requests Record 2; simultaneously User B locks Record 2 and requests Record 1 — both wait indefinitely
Name two methods for dealing with deadlocks | Deadlock prevention (ordering resource requests) and timeout mechanisms (aborting a transaction if it waits too long)
What is the difference between commit and rollback? | Commit saves all changes in a transaction permanently; rollback undoes all changes and restores the previous state
What is data redundancy in a database? | The same piece of data being stored in more than one place within the database, which can lead to inconsistencies and wasted storage
What is the purpose of deliberate redundancy in data storage? | Storing copies of data in physically different locations so that if one copy is damaged, others remain unaffected and can be recovered
How does data redundancy differ from deliberate redundancy for backup? | Data redundancy is unwanted duplication within a database causing inconsistency and waste; deliberate redundancy stores copies in separate physical locations as a safeguard against data loss
What is concurrency control? | The management of simultaneous data access in a multi-user database to prevent conflicts and maintain consistency
Name two techniques used for concurrency control | Locking (preventing simultaneous access to the same data) and timestamping (assigning a unique timestamp to each transaction to determine order)
What is the two-phase commit protocol? | A protocol used in distributed databases that ensures a transaction is either committed at all participating nodes or aborted at all of them, maintaining consistency
What are 1D and 2D barcodes? | 1D barcodes use parallel lines of varying widths (e.g. product barcodes); 2D barcodes use geometric patterns like squares or dots to store more data (e.g. QR codes)
