What is a data type? | A classification of data into groups according to the kind of data they represent
Give one advantage of recursion over iteration | Certain problems can be represented in fewer lines of code, making them less prone to errors and more readable
Give one advantage of iteration over recursion | More memory-efficient with no call stack overhead, leading to better performance and no risk of stack overflow
When converting a recursive function to an iterative one, what typically replaces the recursive call? | A loop (usually while true), with variables updated to match the parameter changes that would occur in each recursive call
What is a local variable? | A variable declared within a specific scope (such as a function) that can only be accessed within that block of code
A variable that can only be accessed within the block of code where it was defined — what type of variable is this? | Local variable
What is a global variable? | A variable declared at the outermost level of a program, accessible and modifiable from any part of the program
A variable accessible from any part of the program — what type of variable is this? | Global variable
What is scope in programming? | The section of code in which a variable is available
Why are local variables generally preferred over global variables? | They keep subroutines self-contained, prevent unintended modification by other code, and free memory when the block ends
What happens if a local and global variable share the same name within a subroutine? | The local variable takes precedence within that subroutine
Why do global variables require more memory than local variables? | Global variables persist in memory until the program terminates, while local variables are freed when their block finishes
How can a program be refactored to replace global variables with local variables? | Pass data as parameters to functions and use return values to pass results back, keeping variables local to each function
What is an IDE? | A software tool providing programmers with an integrated platform to write, edit, compile, debug, and manage code
A software tool providing programmers with an integrated platform to write, edit, compile, debug, and manage code — what is this? | An Integrated Development Environment (IDE)
What is syntax highlighting (pretty printing) in an IDE? | Displaying different code elements (keywords, strings, comments) in distinct colours or styles to improve readability and help identify errors
What does autocomplete do in an IDE? | Suggests code completions as the programmer types, including variable names, function names, and closing brackets
What is auto indent in an IDE? | Automatically indenting code when a new line starts within a code block, visually showing the structure of selection and iteration constructs
What are breakpoints in an IDE? | Markers set at specific lines that halt program execution during runtime so the developer can inspect the program state and variable values
What is stepping mode in an IDE? | A debugging mode that executes the program one line at a time, allowing the developer to monitor the effect of each line
What does a variable watch window show in an IDE? | The values of selected variables in real-time as the program executes, useful for diagnosing issues related to variable values
What is a crash dump (post-mortem report)? | A report capturing the program's state and memory contents at the time of a crash, generated after unexpected termination to help diagnose the root cause
What does the stack contents debugging tool show? | The order in which functions were called, along with the parameters and local variables of each function on the call stack
What is a class in OOP? | A template for an object that defines its attributes (state) and methods (behaviour)
A template that defines the attributes and methods of an object — what OOP term is this? | Class
What is an object in OOP? | A particular instance of a class, created through instantiation
A particular instance of a class — what OOP term is this? | Object
What is instantiation? | The process of creating an object from a class
The process of creating an object from a class — what term is this? | Instantiation
What are attributes in OOP? | Properties defined within a class that hold the state (data) of an object, typically declared as private
What are methods in OOP? | Subroutines defined within a class that describe the actions (behaviour) an object can perform
What is a constructor? | A special method that creates and initialises objects of a class, setting the initial attribute values
In OCR pseudocode, what keyword is used to create a new object? | new (e.g. myObj = new ClassName(arguments))
What is inheritance in OOP? | A mechanism where a subclass (derived class) acquires the attributes and methods of a superclass (base class)
A mechanism where a derived class acquires the attributes and methods of a base class — what OOP concept is this? | Inheritance
In OCR pseudocode, what keyword indicates a class inherits from another? | INHERITS (e.g. CLASS Car INHERITS Vehicle)
What keyword in a subclass constructor calls the parent class constructor to inherit its attributes? | super
What is encapsulation in OOP? | Declaring attributes as private so they can only be accessed or modified through public methods, implementing information hiding
Declaring attributes as private and controlling access through public methods — what OOP principle is this? | Encapsulation
What is a getter (accessor) method? | A public method that returns the value of a private attribute, providing controlled read access
What is a setter (mutator) method? | A public method that updates the value of a private attribute, typically including validation logic before the update
What is polymorphism in OOP? | The ability of objects of different classes to respond to the same method call in different ways through method overriding
Objects of different classes responding to the same method call in different ways — what OOP concept is this? | Polymorphism
What is method overriding? | When a subclass provides its own implementation of a method already defined in its superclass
What is run-time (dynamic) polymorphism? | When the correct version of an overridden method is chosen at run-time based on the actual type of the object, not at compile-time
