What are the three stages of how a search engine works? | Crawling, indexing, ranking
What is AJAX? | Asynchronous communication with a server that retrieves data in the background, allowing content to update dynamically without requiring a full-page reload
Why might a web form validate input with JavaScript on the client side and then re-check on the server? | Client side validation reduces unnecessary server load, but JavaScript can be circumvented or disabled, so the server must re-check to ensure data integrity
What is HTML? | Hypertext Markup Language, the foundational language used to structure content on the web
The foundational language used to structure content on the web — what is this? | HTML (Hypertext Markup Language)
What are the two main sections of an HTML page? | The head (contains page metadata and title) and the body (contains the visible content)
What does the <head> section of an HTML document contain? | Information about the web page not displayed on the page itself, such as the title and links to stylesheets
What does the <body> section of an HTML document contain? | The main content displayed in the browser window, such as text, images, videos, and hyperlinks
What HTML tag sets the page title shown in the browser tab? | <title>, placed inside the <head> section
What is the difference between opening/closing tags and self-closing tags in HTML? | Most tags require an opening and closing tag (e.g. <html></html>), while some tags like <img> and <link> are self-closing and do not need a closing tag
What HTML tags are used for headings? | <h1> through <h6>, where <h1> is the most prominent and <h6> the least, used hierarchically
Why are HTML headings important for accessibility? | Screen reader software uses headings to help visually impaired users navigate around the page, allowing them to jump to specific sections
Why are HTML headings important for Search Engine Optimisation? | They help search engines understand the content and structure of the page
What HTML tag is used to embed an image? | <img>, a self-closing tag with key attributes src (source URL), alt (alternative text), height, and width
What does the alt attribute of an <img> tag provide? | Alternative text for screen readers and for cases where the image cannot be displayed; it also helps search engines understand the image content
What HTML tag is used to create a hyperlink? | <a> (anchor tag), with the href attribute specifying the URL the link points to
How do you make an image act as a hyperlink in HTML? | Wrap the <img> tag inside an <a> tag, e.g. <a href="page.htm"><img src="image.png"></a>
What HTML tag is used as a generic container to group other elements? | <div>, often used in conjunction with CSS to style sections of a webpage
What HTML tag is used to create a form for user input? | <form>
What HTML tag creates interactive controls within a form? | <input>, with the type attribute determining the control type (e.g. "text", "submit", "email") and the name attribute identifying the input
What HTML tag is used for a paragraph of text? | <p>
What is the difference between <ol> and <ul> in HTML? | <ol> creates an ordered (numbered) list; <ul> creates an unordered (bullet point) list. Both use <li> tags for individual items
What HTML tag is used to embed or reference JavaScript code? | <script>, e.g. <script src="script.js"></script> for an external file
How is an external stylesheet linked in an HTML document? | Using a <link> element in the <head> section, e.g. <link rel="stylesheet" type="text/css" href="styles.css">
What is the difference between a class and an ID in HTML? | A class can be applied to multiple elements for shared styling; an ID is unique and can only be used by one element on a page
An HTML attribute that can be shared by multiple elements for consistent styling — what is this? | A class
An HTML attribute that uniquely identifies a single element on a page — what is this? | An ID
What is CSS? | Cascading Style Sheets, a language used to define the style and appearance of a webpage
A language used to define the style and appearance of a webpage — what is this? | CSS (Cascading Style Sheets)
What are the three ways CSS can be applied to a web page? | Inline (using the style attribute on an HTML element), internal/embedded (within style tags in the HTML head), or externally (in a separate .css file linked to the document)
If CSS is defined both inline and in an external stylesheet, which takes priority? | The inline CSS overrides the external stylesheet
How are classes selected in CSS? | With a full stop (.) followed by the class name, e.g. .myClass { }
How are IDs selected in CSS? | With a hash (#) followed by the ID name, e.g. #myID { }
What CSS property changes the font colour of text? | color (must be spelt the American way; "colour" does not work in CSS)
What CSS property sets the background colour of an element? | background-color
What CSS property changes the font used by an element? | font-family
What CSS property changes the text size of an element? | font-size
Name the three CSS properties used to style borders | border-color, border-style (e.g. solid), border-width (e.g. 2px)
How are colours specified in CSS? | By name (e.g. "red", "orange") or by hex code (e.g. #FF0000)
In a CSS hex colour code, what do the three pairs of characters represent? | Red, green, and blue values respectively (e.g. #FF0000 is red, #00FF00 is green, #0000FF is blue)
What is the correct CSS syntax for assigning a property value? | property: value; using a colon and ending with a semicolon (not an equals sign)
What is JavaScript? | A programming language that adds interactivity and dynamic functionality to web pages, running client side in the browser
Is JavaScript interpreted or compiled? | Interpreted, meaning the browser interprets web pages each time they are loaded
Name three ways JavaScript can produce output | Changing an HTML element's content via innerHTML, writing directly to the document with document.write(), or displaying a pop-up with alert()
What JavaScript method retrieves an HTML element by its ID from the DOM? | document.getElementById("id")
What does the innerHTML property do in JavaScript? | Allows direct access to the HTML content within an element, enabling it to be read or modified
In JavaScript, what keyword declares a variable? | let (or var in older code, though var is bad practice as it creates global-scope variables)
In JavaScript, what keyword declares a constant? | const
How does a variable differ from a constant in JavaScript? | A variable's value can be changed during program execution, while a constant's value remains the same once assigned
What naming rules must JavaScript variables follow? | Start with a letter, no spaces, can contain letters, numbers, underscore or $, and must not use reserved words
What does the + operator do when used with strings in JavaScript? | Concatenates (joins) the strings together
What does the % (modulus) operator return in JavaScript? | The remainder when one value is divided by another, e.g. 10 % 3 returns 1
What does the ** operator do in JavaScript? | Raises a number to a power (exponentiation), e.g. $3 ** 3 = 27$
What do the ++ and -- operators do in JavaScript? | ++ increments a variable by one; -- decrements it by one
What is operator precedence in JavaScript? | The order in which operators are evaluated, following BIDMAS/BODMAS rules; parentheses can override the default order
What is the difference between == and === in JavaScript? | == compares values with type coercion (5 == "5" is true); === compares both value and type without coercion (5 === "5" is false)
What is the difference between != and !== in JavaScript? | != compares values with type coercion; !== compares both value and type without coercion
What does the logical AND operator (&&) return in JavaScript? | true only if both operands are true, otherwise false
What does the logical OR operator return in JavaScript? | true if at least one operand is true; false only if both operands are false
What does the ! (NOT) operator do in JavaScript? | Negates a Boolean value: returns true if the operand is false, and false if the operand is true
What are the three programming constructs? | Sequence, selection, iteration
What is selection in programming? | Choosing a line or lines of code to run depending on whether a condition evaluates to true or false
What is the syntax of an if-else statement in JavaScript? | if (condition) { code if true } else { code if false }
What is a switch case statement used for in JavaScript? | Comparing a single expression against multiple possible values and executing the corresponding block of code when a match is found
What is fall-through behaviour in a switch case statement? | If a break statement is not included after a case, code execution continues to the next case until a break is encountered
What does the default keyword do in a switch case statement? | Specifies a block of code to execute if none of the case labels match the expression
What is a for loop in JavaScript? | A control flow statement that repeatedly executes a block of code for a specified number of iterations
What are the three parts of a for loop's syntax in JavaScript? | Initialisation (sets counter variable), condition (checked before each iteration), increment/decrement (updates counter after each iteration)
When is a while loop used instead of a for loop? | When the number of iterations is unknown in advance and the loop should continue as long as a condition remains true
How does a do-while loop differ from a while loop? | A do-while loop executes the code block at least once before checking the condition; a while loop checks the condition before the first execution
What does a for...in loop do in JavaScript? | Iterates through the indices of a data structure like an array, allowing access to each element via its index
How is the length of a string found in JavaScript? | Using the .length property, e.g. message.length returns the number of characters
What does the substring() method do in JavaScript? | Extracts a portion of a string given a starting index and an optional ending index (exclusive), returning a new string
The [...] method in JavaScript extracts a portion of a string given a starting index and optional ending index | substring()
What is a function in JavaScript? | A reusable block of code that performs a specific task, can take input parameters (arguments), and returns a value
What is a procedure in JavaScript? | A function that does not return a value; it has no return statement, or a return statement with no value
How does a function differ from a procedure in JavaScript? | A function returns a value using a return statement; a procedure performs actions but does not return a value
What is nesting in programming? | Placing one block of code within another, commonly done with if statements and loops to handle more complex logic
How do you calculate the total number of times an inner loop executes in nested loops? | Multiply the number of outer loop iterations by the number of inner loop iterations
