What is a network? | Two or more interconnected devices with the ability to transmit data between each other
What is circuit switching? | A communication method where a dedicated path is established between two devices for the entire duration of their conversation, with all data following the same route
A method where a dedicated communication path is maintained for the entire conversation — what is this? | Circuit switching
Give two advantages of circuit switching | Data arrives in order since it follows the same path; provides a constant, steady transmission rate ideal for real-time services like voice calls
Give two disadvantages of circuit switching | Bandwidth is wasted when no data is being sent; less scalable since dedicated paths tie up network resources for other users
How does packet switching compare to circuit switching in terms of resource usage? | Packet switching shares bandwidth efficiently across users; circuit switching reserves a dedicated path even during idle periods, wasting resources
What is hacking in a network context? | Gaining unauthorised access to a system or network to steal or manipulate data, disrupt services, or cause damage
What is a computer virus? | Malicious software that attaches to a legitimate program or file and replicates to spread to other programs, potentially deleting data or damaging hardware
What is a worm? | A standalone malicious program that spreads and replicates over computer networks without needing to attach to a host file
How does a worm differ from a virus? | A worm is standalone and spreads independently over networks; a virus must attach to a legitimate program or file to replicate
What is a Trojan horse in computing? | A program that disguises itself as legitimate software but performs malicious actions such as deleting data or damaging hardware once installed
What is spyware? | Software that secretly monitors user activity and transmits the collected information to a third party
What is adware? | Software that displays unwanted advertisements without user consent; it may contain spyware or link to viruses when clicked
What is ransomware? | Malware that encrypts the user's files and demands payment to decrypt them, causing data loss, financial damage, and business disruption
What is a Denial of Service (DoS) attack? | Flooding a server with so many requests that it crashes or becomes unavailable to legitimate users
How does a DDoS attack differ from a DoS attack? | A DDoS (Distributed Denial of Service) uses multiple computers acting as bots to flood the server, rather than a single source
What is SQL injection? | An attack where malicious SQL statements are inserted into a website's input fields to exploit vulnerabilities and potentially expose the database
What is phishing? | Sending fraudulent communications (typically emails) disguised as trustworthy sources to trick users into revealing sensitive information via fake websites
What is pharming? | A cyber attack where malware redirects a website's traffic to a bogus site without the user's knowledge, tricking them into entering personal details
How does pharming differ from phishing? | Phishing lures users via fake emails to click links to fraudulent sites; pharming automatically redirects users via malware without requiring them to click anything
What is social engineering? | Manipulating people into divulging confidential information or performing actions that benefit the attacker, using techniques like impersonation or baiting
What is a firewall? | A network security system that monitors and controls incoming and outgoing traffic based on predetermined rules called packet filters
How does packet filtering work in a firewall? | The firewall examines each packet's source IP, destination IP, protocol, and port number, comparing them against administrator-configured rules to allow or block traffic
What is the difference between dropping and rejecting a packet in a firewall? | A rejected packet sends an alert back to the sender; a dropped packet is silently discarded with no notification
What is a proxy server? | An intermediary server that collects and sends data on behalf of the user, providing anonymity, caching, reduced web traffic, and access control
Give two benefits of using a proxy server | User privacy is protected as requests appear to come from the proxy; frequently accessed data is cached for faster loading
What is encryption in a network context? | Making data unreadable during transmission so it cannot be understood if intercepted; data is encrypted and decrypted using keys
What is two-factor authentication (2FA)? | A security method requiring two forms of identification, such as a password plus a verification code sent to the user's phone or email
What is a modem? | A modulator-demodulator that converts digital signals to analogue and vice versa, enabling data transmission over telephone or cable lines
A device that converts between digital and analogue signals for transmission over telephone or cable lines — what is it? | Modem
What is the role of a router? | To connect two or more networks together by analysing packet headers and forwarding packets to the correct destination using a routing table
What is a routing table? | A table stored by a router listing known networks, used to determine where to forward each packet based on its destination IP address
What is a hop in networking? | Each pass of a data packet from one router to the next as it travels toward its destination
Besides routing packets, what additional functions can a router perform? | Assigning IP addresses to LAN devices, filtering traffic by IP/port/protocol, and providing wireless networking and firewall capabilities
What is a network interface card (NIC)? | A hardware component (usually built into the motherboard) that connects a device to a network by converting data into a network-compatible format
What is a MAC address? | A unique 48-bit identifier assigned to each NIC during manufacturing, written as a twelve-digit hexadecimal number, used to identify devices on a local network
A unique 48-bit hardware identifier assigned during manufacturing and written as a twelve-digit hexadecimal number — what is this? | MAC address (Media Access Control address)
What is a wireless access point (WAP)? | A device that transmits and receives Wi-Fi signals, allowing wireless devices to connect to a wired network
What is a network hub? | A device that connects multiple devices on a network by broadcasting all received data to every connected device
Why are hubs considered inefficient and less secure than switches? | They broadcast every packet to all connected devices, creating unnecessary traffic and allowing every device to see all data
What is a network switch? | A device that connects devices on a network and forwards data only to the intended recipient by using a MAC address lookup table
How does a switch differ from a hub? | A switch sends data only to the intended device using a MAC address lookup table; a hub broadcasts data to all connected devices
What types of cable are commonly used in wired networks? | Ethernet cables (Cat5, Cat5e, Cat6) for speeds from 10 Mbps to 10 Gbps, and fibre-optic cables that use light for higher speed and greater capacity
What is a gateway? | A device used when protocols differ between networks; it translates protocols by removing packet headers and re-encapsulating data using the new protocol
What is a client-server network? | A network where powerful server computers control the network and provide services (files, email, web) to client devices that request them
Give two advantages of a client-server network | Easier central management of resources, backups, and security; scalable as new clients can be added easily
Give two disadvantages of a client-server network | Single point of failure if the server goes down; expensive to set up and maintain, requiring trained staff
What is a peer-to-peer network? | A network where all computers share equal responsibility with no central server; each device acts as both client and server
A network with no central server where all devices share equal responsibility and act as both client and server — what type of network is this? | Peer-to-peer
Give two advantages of a peer-to-peer network | Cheap and easy to set up with no specialist staff needed; no dependency on a central server
Give two disadvantages of a peer-to-peer network | Lack of central control leads to poorer security; not suitable for large networks due to performance issues and difficulty locating resources
When is a client-server network more appropriate than peer-to-peer? | In larger organisations requiring centralised control, reliability, security, and scalability
When is a peer-to-peer network more appropriate than client-server? | In small networks such as home setups or small businesses, or for specific applications like file sharing
